Blizzard,ICE,Special,110,70,5,,May freeze opponent.,10
Block,NORMAL,Status,?,?,5,,Opponent cannot flee or switch.,?
Bloom Doom,GRASS,?,?,?,1,,Grass type Z-Move.,?
Blue Flare,FIRE,Special,130,85,5,,May burn opponent.,20
Body Press,FIGHTING,Physical,80,100,10,,"The higher the user's Defense, the stronger the attack.",?
Body Slam,NORMAL,Physical,85,100,15,,May paralyze opponent.,30
Bolt Beak,ELECTRIC,Physical,85,100,10,,"If the user attacks before the target, the power of this move is doubled.",?
Bolt Strike,ELECTRIC,Physical,130,85,5,,May paralyze opponent.,20
Bone Club,GROUND,Physical,65,85,20,,May cause flinching.,10
Bone Rush,GROUND,Physical,25,90,10,,Hits 2-5 times in one turn.,?
Bonemerang,GROUND,Physical,50,90,10,,Hits twice in one turn.,?
Boomburst,NORMAL,Special,140,100,10,,Hits all adjacent Pok‚mon.,?
Bounce,FLYING,Physical,85,85,5,TM52,"Springs up on first turn, attacks on second. May paralyze opponent.",30
Bouncy Bubble,WATER,Special,90,100,15,,User recovers half the HP inflicted on opponent.,?
Branch Poke,GRASS,Physical,40,100,40,,,?
Brave Bird,FLYING,Physical,120,100,15,,User receives recoil damage.,?
Breaking Swipe,DRAGON,Physical,60,100,15,TM99,Hits multiple opponents and lowers their attack.,100
Breakneck Blitz,NORMAL,?,?,?,1,,Normal type Z-Move.,?
Brick Break,FIGHTING,Physical,75,100,15,TM43,Breaks through Reflect and Light Screen barriers.,?
Brine,WATER,Special,65,100,10,TM55,Power doubles if opponent's HP is less than 50%.,?
Brutal Swing,DARK,Physical,60,100,20,TM97,The user swings its body around violently to inflict damage on everything in its vicinity.,?
Bubble,WATER,Special,40,100,30,,May lower opponent's Speed.,10
Bubble Beam,WATER,Special,65,100,20,,May lower opponent's Speed.,10
Bug Bite,BUG,Physical,60,100,20,,Receives the effect from the opponent's held berry.,?
Bug Buzz,BUG,Special,90,100,10,,May lower opponent's Special Defense.,10
Bulk Up,FIGHTING,Status,?,?,20,,Raises user's Attack and Defense.,?
Bulldoze,GROUND,Physical,60,100,20,TM81,Lowers opponent's Speed.,100
Bullet Punch,STEEL,Physical,40,100,30,,User attacks first.,?
Bullet Seed,GRASS,Physical,25,100,30,TM50,Hits 2-5 times in one turn.,?
Burn Up,FIRE,Special,130,100,5,,"To inflict massive damage, the user burns itself out. After using this move, the user will no longer be Fire type.",?
Burning Jealousy,FIRE,Special,70,100,5,,"Hits all opponents, and burns any that have had their stats boosted.",?
Buzzy Buzz,ELECTRIC,Special,90,100,15,,Paralyzes the opponent.,100
Calm Mind,PSYCHIC,Status,?,?,20,,Raises user's Special Attack and Special Defense.,?
Camouflage,NORMAL,Status,?,?,20,,Changes user's type according to the location.,?
Captivate,NORMAL,Status,?,100,20,,Sharply lowers opponent's Special Attack if opposite gender.,?
Catastropika,ELECTRIC,Physical,210,?,1,,Pikachu-exclusive Z-Move.,?
Celebrate,NORMAL,Status,?,?,40,,The Pok‚mon congratulates you on your special day. No battle effect.,?
Charge,ELECTRIC,Status,?,?,20,,Raises user's Special Defense and next Electric move's power increases.,?
Charge Beam,ELECTRIC,Special,50,90,10,,May raise user's Special Attack.,70
Charm,FAIRY,Status,?,100,20,TM29,Sharply lowers opponent's Attack.,?
Chatter,FLYING,Special,65,100,20,,Confuses opponent.,100
Chip Away,NORMAL,Physical,70,100,20,,Ignores opponent's stat changes.,?
Circle Throw,FIGHTING,Physical,60,90,10,,"In battles, the opponent switches. In the wild, the Pok‚mon runs.",?
Clamp,WATER,Physical,35,85,15,,"Traps opponent, damaging them for 4-5 turns.",100
Clanging Scales,DRAGON,Special,110,100,5,,Lowers user's Defense.,100
Clangorous Soul,DRAGON,Status,?,100,5,,Raises all user's stats but loses HP.,100
Clangorous Soulblaze,DRAGON,Special,185,?,1,,Kommo-o exclusive Z-Move.,?
Clear Smog,POISON,Special,50,?,15,,Removes all of the target's stat changes.,?
Close Combat,FIGHTING,Physical,120,100,5,,Lowers user's Defense and Special Defense.,100
Coaching,FIGHTING,Status,?,?,10,,Boosts Attack and Defense of a teammate.,?
Coil,POISON,Status,?,?,20,,"Raises user's Attack, Defense and Accuracy.",?
Comet Punch,NORMAL,Physical,18,85,15,,Hits 2-5 times in one turn.,?
Confide,NORMAL,Status,?,?,20,,Lowers opponent's Special Attack.,100
Confuse Ray,GHOST,Status,?,100,10,,Confuses opponent.,?
Confusion,PSYCHIC,Special,50,100,25,,May confuse opponent.,10
Constrict,NORMAL,Physical,10,100,35,,May lower opponent's Speed by one stage.,10
Continental Crush,ROCK,?,?,?,1,,Rock type Z-Move.,?
Conversion,NORMAL,Status,?,?,30,,Changes user's type to that of its first move.,?
Conversion 2,NORMAL,Status,?,?,30,,User changes type to become resistant to opponent's last move.,?
Copycat,NORMAL,Status,?,?,20,,Copies opponent's last move.,?
Core Enforcer,DRAGON,Special,100,100,10,,Scorches a 'Z' pattern on the ground.,?
Corkscrew Crash,STEEL,?,?,?,1,,Steel type Z-Move.,?
Corrosive Gas,POISON,Status,?,100,40,,Removes opponent's items.,?
Cosmic Power,PSYCHIC,Status,?,?,20,,Raises user's Defense and Special Defense.,?
Cotton Guard,GRASS,Status,?,?,10,,Drastically raises user's Defense.,?
Cotton Spore,GRASS,Status,?,100,40,,Sharply lowers opponent's Speed.,?
Counter,FIGHTING,Physical,?,100,20,,"When hit by a Physical Attack, user strikes back with 2x power.",?
Court Change,NORMAL,Status,?,100,10,,Swaps the effects on either side of the field.,?
Covet,NORMAL,Physical,60,100,25,,Opponent's item is stolen by the user.,?
Crabhammer,WATER,Physical,100,90,10,,High critical hit ratio.,?
Crafty Shield,FAIRY,Status,?,?,10,,Protects the Pok‚mon from status moves.,?
Cross Chop,FIGHTING,Physical,100,80,5,,High critical hit ratio.,?
Cross Poison,POISON,Physical,70,100,20,TM73,High critical hit ratio. May poison opponent.,10
Crunch,DARK,Physical,80,100,15,,May lower opponent's Defense.,20
Crush Claw,NORMAL,Physical,75,95,10,,May lower opponent's Defense.,50
Crush Grip,NORMAL,Physical,?,100,5,,More powerful when opponent has higher HP.,?
Curse,GHOST,Status,?,?,10,,"Ghosts lose 50% of max HP and curse the opponent; Non-Ghosts raise Attack, Defense and lower Speed.",?
Cut,NORMAL,Physical,50,95,30,,,?
Dark Pulse,DARK,Special,80,100,15,,May cause flinching.,20
Dark Void,DARK,Status,?,50,10,,Puts all adjacent opponents to sleep.,?
Darkest Lariat,DARK,Physical,85,100,10,,Ignores opponent's stat changes.,?
Dazzling Gleam,FAIRY,Special,80,100,10,,Hits all adjacent opponents.,?
Decorate,FAIRY,Status,?,?,15,,Sharply raises target's Attack and Special Attack.,100
Defend Order,BUG,Status,?,?,10,,Raises user's Defense and Special Defense.,?
Defense Curl,NORMAL,Status,?,?,40,,Raises user's Defense.,?
Defog,FLYING,Status,?,?,15,,Lowers opponent's Evasiveness and clears fog.,?
Destiny Bond,GHOST,Status,?,?,5,,"If the user faints, the opponent also faints.",?
Detect,FIGHTING,Status,?,?,5,,"Protects the user, but may fail if used consecutively.",?
Devastating Drake,DRAGON,?,?,?,1,,Dragon type Z-Move.,?
Diamond Storm,ROCK,Physical,100,95,5,,May sharply raise user's Defense.,50
Dig,GROUND,Physical,80,100,10,TM15,"Digs underground on first turn, attacks on second. Can also escape from caves.",?
Disable,NORMAL,Status,?,100,20,,Opponent can't use its last attack for a few turns.,?
Disarming Voice,FAIRY,Special,40,8,15,,Ignores Accuracy and Evasiveness.,?
Discharge,ELECTRIC,Special,80,100,15,,May paralyze opponent.,30
Dive,WATER,Physical,80,100,10,TM45,"Dives underwater on first turn, attacks on second turn.",?
Dizzy Punch,NORMAL,Physical,70,100,10,,May confuse opponent.,20
Doom Desire,STEEL,Special,140,100,5,,Damage occurs 2 turns later.,?
Double Hit,NORMAL,Physical,35,90,10,,Hits twice in one turn.,?
Double Iron Bash,STEEL,Physical,60,100,5,,Hits twice in one turn; may cause flinching.,30
Double Kick,FIGHTING,Physical,30,100,30,,Hits twice in one turn.,?
Double Slap,NORMAL,Physical,15,85,10,,Hits 2-5 times in one turn.,?
Double Team,NORMAL,Status,?,?,15,,Raises user's Evasiveness.,?
Double-Edge,NORMAL,Physical,120,100,15,,User receives recoil damage.,?
Draco Meteor,DRAGON,Special,130,90,5,,Sharply lowers user's Special Attack.,100
Dragon Ascent,FLYING,Physical,120,100,5,,Lowers user's Defense and Special Defense.,100
Dragon Breath,DRAGON,Special,60,100,20,,May paralyze opponent.,30
Dragon Claw,DRAGON,Physical,80,100,15,,,?
Dragon Dance,DRAGON,Status,?,?,20,,Raises user's Attack and Speed.,?
Dragon Darts,DRAGON,Physical,50,100,10,,User attacks twice.,?
Dragon Energy,DRAGON,Special,150,100,5,,"The higher the user's HP, the higher the power.",?
Dragon Hammer,DRAGON,Physical,90,100,15,,The user uses its body like a hammer to attack the target and inflict damage.,?
Dragon Pulse,DRAGON,Special,85,100,10,,,?
Dragon Rage,DRAGON,Special,?,100,10,,Always inflicts 40 HP.,?
Dragon Rush,DRAGON,Physical,100,75,10,,May cause flinching.,20
Dragon Tail,DRAGON,Physical,60,90,10,,"In battles, the opponent switches. In the wild, the Pok‚mon runs.",?
Drain Punch,FIGHTING,Physical,75,100,10,TM63,User recovers half the HP inflicted on opponent.,?
Draining Kiss,FAIRY,Special,50,100,10,TM87,User recovers most the HP inflicted on opponent.,?
Dream Eater,PSYCHIC,Special,100,100,15,,User recovers half the HP inflicted on a sleeping opponent.,?
Drill Peck,FLYING,Physical,80,100,20,,,?
Drill Run,GROUND,Physical,80,95,10,,High critical hit ratio.,?
Drum Beating,GRASS,Physical,80,100,10,,Lowers opponent's Speed.,100
Dual Chop,DRAGON,Physical,40,90,15,,Hits twice in one turn.,?
Dual Wingbeat,FLYING,Physical,40,90,10,,The user slams the target with its wings. The target is hit twice in a row.,?
Dynamax Cannon,DRAGON,Special,100,100,5,,Damage doubles if opponent is Dynamaxed.,?
Dynamic Punch,FIGHTING,Physical,100,50,5,,Confuses opponent.,100
Earth Power,GROUND,Special,90,100,10,,May lower opponent's Special Defense.,10
Earthquake,GROUND,Physical,100,100,10,,Power is doubled if opponent is underground from using Dig.,?
Echoed Voice,NORMAL,Special,40,100,15,,Power increases each turn.,?
Eerie Impulse,ELECTRIC,Status,?,100,15,TM93,Sharply lowers opponent's Special Attack.,?
Eerie Spell,PSYCHIC,Special,80,100,5,,Deals damage and reduces opponent's PP.,?
Egg Bomb,NORMAL,Physical,100,75,10,,,?
Electric Terrain,ELECTRIC,Status,?,?,10,TM90,Prevents all Pok‚mon from falling asleep for 5 turns.,?
Electrify,ELECTRIC,Status,?,?,20,,Changes the target's move to Electric type.,?
Electro Ball,ELECTRIC,Special,?,100,10,,"The faster the user, the stronger the attack.",?
Electroweb,ELECTRIC,Special,55,95,15,TM82,Lowers opponent's Speed.,100
Embargo,DARK,Status,?,100,15,,Opponent cannot use items.,?
Ember,FIRE,Special,40,100,25,,May burn opponent.,10
Encore,NORMAL,Status,?,100,5,,Forces opponent to keep using its last move for 3 turns.,?
Endeavor,NORMAL,Physical,?,100,5,,Reduces opponent's HP to same as user's.,?
Endure,NORMAL,Status,?,?,10,,"Always left with at least 1 HP, but may fail if used consecutively.",?
Energy Ball,GRASS,Special,90,100,10,,May lower opponent's Special Defense.,10
Entrainment,NORMAL,Status,?,100,15,,Makes target's ability same as user's.,?
Eruption,FIRE,Special,150,100,5,,Stronger when the user's HP is higher.,?
Eternabeam,DRAGON,Special,160,90,5,,User can't move on the next turn.,?
Expanding Force,PSYCHIC,Special,80,100,10,,Increases power and hits all opponents on Psychic Terrain.,?
Explosion,NORMAL,Physical,250,100,5,,User faints.,?
Extrasensory,PSYCHIC,Special,80,100,20,,May cause flinching.,10
Extreme Evoboost,NORMAL,Status,?,?,1,,Eevee-exclusive Z-Move. Sharply raises all stats.,100
Extreme Speed,NORMAL,Physical,80,100,5,,User attacks first.,?
Facade,NORMAL,Physical,70,100,20,TM39,"Power doubles if user is burned, poisoned, or paralyzed.",?
Fairy Lock,FAIRY,Status,?,?,10,,Prevents fleeing in the next turn.,?
Fairy Wind,FAIRY,Special,40,100,30,,,?
Fake Out,NORMAL,Physical,40,100,10,,"User attacks first, foe flinches. Only usable on first turn.",100
Fake Tears,DARK,Status,?,100,20,TM47,Sharply lowers opponent's Special Defense.,?
False Surrender,DARK,Physical,80,8,10,,Ignores Accuracy and Evasiveness.,?
False Swipe,NORMAL,Physical,40,100,40,TM94,Always leaves opponent with at least 1 HP.,?
Feather Dance,FLYING,Status,?,100,15,,Sharply lowers opponent's Attack.,?
Feint,NORMAL,Physical,30,100,10,,Only hits if opponent uses Protect or Detect in the same turn.,?
Feint Attack,DARK,Physical,60,8,20,,Ignores Accuracy and Evasiveness.,?
Fell Stinger,BUG,Physical,50,100,25,,Drastically raises user's Attack if target is KO'd.,?
Fiery Dance,FIRE,Special,80,100,10,,May raise user's Special Attack.,50
Fiery Wrath,DARK,Special,90,100,10,,May cause flinching.,20
Final Gambit,FIGHTING,Special,?,100,5,,Inflicts damage equal to the user's remaining HP. User faints.,?
Fire Blast,FIRE,Special,110,85,5,,May burn opponent.,10
Fire Fang,FIRE,Physical,65,95,15,TM68,May cause flinching and/or burn opponent.,10
Fire Lash,FIRE,Physical,80,100,15,,The user strikes the target with a burning lash. This also lowers the target's Defense stat.,100
Fire Pledge,FIRE,Special,80,100,10,,Added effects appear if combined with Grass Pledge or Water Pledge.,?
Fire Punch,FIRE,Physical,75,100,15,TM03,May burn opponent.,10
Fire Spin,FIRE,Special,35,85,15,TM13,"Traps opponent, damaging them for 4-5 turns.",100
First Impression,BUG,Physical,90,100,10,,"Although this move has great power, it only works the first turn the user is in battle.",?
Fishious Rend,WATER,Physical,85,100,10,,"If the user attacks before the target, the power of this move is doubled.",?
Fissure,GROUND,Physical,?,30,5,,"One-Hit-KO, if it hits.",?
Flail,NORMAL,Physical,?,100,15,,"The lower the user's HP, the higher the power.",?
Flame Burst,FIRE,Special,70,100,15,,May also injure nearby Pok‚mon.,?
Flame Charge,FIRE,Physical,50,100,20,,Raises user's Speed.,100
Flame Wheel,FIRE,Physical,60,100,25,,May burn opponent.,10
Flamethrower,FIRE,Special,90,100,15,,May burn opponent.,10
Flare Blitz,FIRE,Physical,120,100,15,,User receives recoil damage. May burn opponent.,10
Flash,NORMAL,Status,?,100,20,,Lowers opponent's Accuracy.,?
Flash Cannon,STEEL,Special,80,100,10,,May lower opponent's Special Defense.,10
Flatter,DARK,Status,?,100,15,,"Confuses opponent, but raises its Special Attack by two stages.",?
Fleur Cannon,FAIRY,Special,130,90,5,,Sharply lowers user's Special Attack.,100
Fling,DARK,Physical,?,100,10,TM59,Power depends on held item.,?
Flip Turn,WATER,Physical,60,100,20,,"After making its attack, the user rushes back to switch places with a party Pok‚mon in waiting.",?
Floaty Fall,FLYING,Physical,90,95,15,,May cause flinching.,30
Floral Healing,FAIRY,Status,?,?,10,,The user restores the target's HP by up to half of its max HP. It restores more HP when the terrain is grass.,?
Flower Shield,FAIRY,Status,?,?,10,,Sharply raises Defense of all Grass-type Pok‚mon on the field.,100
Fly,FLYING,Physical,90,95,15,TM06,"Flies up on first turn, attacks on second turn.",?
Flying Press,FIGHTING,Physical,100,95,10,,Deals Fighting and Flying type damage.,?
Focus Blast,FIGHTING,Special,120,70,5,,May lower opponent's Special Defense.,10
Focus Energy,NORMAL,Status,?,?,30,,Increases critical hit ratio.,?
Focus Punch,FIGHTING,Physical,150,100,20,,"If the user is hit before attacking, it flinches instead.",?
Follow Me,NORMAL,Status,?,?,20,,"In Double Battle, the user takes all the attacks.",?
Force Palm,FIGHTING,Physical,60,100,10,,May paralyze opponent.,30
Foresight,NORMAL,Status,?,?,40,,"Resets opponent's Evasiveness, Normal-type and Fighting-type attacks can now hit Ghosts, and Ghost-type attacks hit Normal.",?
Forest's Curse,GRASS,Status,?,100,20,,Adds Grass type to opponent.,?
Foul Play,DARK,Physical,95,100,15,,Uses the opponent's Attack stat.,?
Freeze Shock,ICE,Physical,140,90,5,,"Charges on first turn, attacks on second. May paralyze opponent.",30
Freeze-Dry,ICE,Special,70,100,20,,May freeze opponent. Super-effective against Water types.,10
Freezing Glare,PSYCHIC,Special,90,100,10,,May freeze opponent.,10
Freezy Frost,ICE,Special,90,100,15,,Resets all stat changes.,?
Frenzy Plant,GRASS,Special,150,90,5,,User must recharge next turn.,?
Frost Breath,ICE,Special,60,90,10,,Always results in a critical hit.,100
Frustration,NORMAL,Physical,?,100,20,,Power decreases with higher Friendship.,?
Fury Attack,NORMAL,Physical,15,85,20,,Hits 2-5 times in one turn.,?
Fury Cutter,BUG,Physical,40,95,20,,Power increases each turn.,?
Fury Swipes,NORMAL,Physical,18,80,15,,Hits 2-5 times in one turn.,?
Fusion Bolt,ELECTRIC,Physical,100,100,5,,Power increases if Fusion Flare is used in the same turn.,?
Fusion Flare,FIRE,Special,100,100,5,,Power increases if Fusion Bolt is used in the same turn.,?
Future Sight,PSYCHIC,Special,120,100,10,,Damage occurs 2 turns later.,?
G-Max Befuddle,BUG,Physical,?,8,5,,"Butterfree-exclusive G-Max Move. Poisons, paralyzes, or puts opponent to sleep.",100
G-Max Cannonade,WATER,Physical,?,8,10,,Blastoise-exclusive G-Max Move. Damages non-Water types for 4 turns.,?
G-Max Centiferno,FIRE,Physical,?,8,5,,Centiskorch-exclusive G-Max Move. Traps opponents for 4-5 turns.,100
G-Max Chi Strike,FIGHTING,Physical,?,8,5,,Machamp-exclusive G-Max Move. Increases critical hit ratio.,?
G-Max Cuddle,NORMAL,Physical,?,8,5,,Eevee-exclusive G-Max Move. Infatuates opponents.,100
G-Max Depletion,DRAGON,Physical,?,8,5,,Duraludon-exclusive G-Max Move. Reduces opponent's PP.,?
G-Max Drum Solo,GRASS,Physical,?,8,5,,Rillaboom-exclusive G-Max Move. Ignores target's ability.,?
G-Max Finale,FAIRY,Physical,?,8,5,,Alcremie-exclusive G-Max Move. Heals the user's team.,?
G-Max Fireball,FIRE,Physical,?,8,5,,Cinderace-exclusive G-Max Move. Ignores target's ability.,?
G-Max Foam Burst,WATER,Physical,?,8,5,,Kingler-exclusive G-Max Move. Harshly lowers opponents' Speed.,100
G-Max Gold Rush,NORMAL,Physical,?,8,5,,Meowth-exclusive G-Max Move. Confuses opponents and earns more money.,100
G-Max Gravitas,PSYCHIC,Physical,?,8,5,,Orbeetle-exclusive G-Max Move. Summons Gravity for 5 turns.,?
G-Max Hydrosnipe,WATER,Physical,?,8,5,,Inteleon-exclusive G-Max Move. Ignores target's ability.,?
G-Max Malodor,POISON,Physical,?,8,5,,Garbodor-exclusive G-Max Move. Poisons opponents.,100
G-Max Meltdown,STEEL,Physical,?,8,5,,Melmetal-exclusive G-Max Move. Prevents opponents using the same move twice in a row.,?
G-Max One Blow,DARK,Physical,?,8,5,,Urshifu Single-Strike Style-exclusive G-Max Move. Strikes through Max Guard and Protect.,?
G-Max Rapid Flow,WATER,Physical,?,8,5,,Urshifu Rapid-Strike Style-exclusive G-Max Move. Strikes through Max Guard and Protect.,?
G-Max Replenish,NORMAL,Physical,?,8,5,,Snorlax-exclusive G-Max Move. Recycles Berries.,?
G-Max Resonance,ICE,Physical,?,8,5,,Lapras-exclusive G-Max Move. Reduces damage for 5 turns.,?
G-Max Sandblast,GROUND,Physical,?,8,5,,Sandaconda-exclusive G-Max Move. Traps opponents for 4-5 turns.,100
G-Max Smite,FAIRY,Physical,?,8,5,,Hatterene-exclusive G-Max Move. Confuses opponents.,100
G-Max Snooze,DARK,Physical,?,8,5,,Grimmsnarl-exclusive G-Max Move. Makes opponents drowsy.,?
G-Max Steelsurge,STEEL,Physical,?,8,5,,Copperajah-exclusive G-Max Move. Sets up Spikes on the field.,?
G-Max Stonesurge,WATER,Physical,?,8,5,,Drednaw-exclusive G-Max Move. Sets up Stealth Rock.,?
G-Max Stun Shock,ELECTRIC,Physical,?,8,10,,Toxtricity-exclusive G-Max Move. Poisons or paralyzes opponents.,100
G-Max Sweetness,GRASS,Physical,?,8,10,,Appletun-exclusive G-Max Move. Heals status conditions of user's team.,?
G-Max Tartness,GRASS,Physical,?,8,10,,Flapple-exclusive G-Max Move. Reduces opponents' evasiveness.,100
G-Max Terror,GHOST,Physical,?,8,10,,Gengar-exclusive G-Max Move. Prevents opponent from switching out.,?
G-Max Vine Lash,GRASS,Physical,?,8,10,,Venusaur-exclusive G-Max Move. Damages non-Grass types for 4 turns.,?
G-Max Volcalith,ROCK,Physical,?,8,10,,Coalossal-exclusive G-Max Move. Deals damage for 4 turns.,100
G-Max Volt Crash,ELECTRIC,Physical,?,8,10,,Pikachu-exclusive G-Max Move. Paralyzes opponents.,100
G-Max Wildfire,FIRE,Physical,?,8,10,,Charizard-exclusive G-Max Move. Damages non-Fire types for 4 turns.,100
G-Max Wind Rage,FLYING,Physical,?,8,10,,Corviknight-exclusive G-Max Move. Removes battlefield hazards.,?
Gastro Acid,POISON,Status,?,100,10,,Cancels out the effect of the opponent's Ability.,?
Gear Grind,STEEL,Physical,50,85,15,,Hits twice in one turn.,?
Gear Up,STEEL,Status,?,?,20,,The user engages its gears to raise the Attack and Sp. Atk stats of ally Pok‚mon with the Plus or Minus Ability.,?
Genesis Supernova,PSYCHIC,Special,185,?,1,,Mew-exclusive Z-Move.,?
Geomancy,FAIRY,Status,?,?,10,,"Charges on first turn, sharply raises user's Sp. Attack, Sp. Defense and Speed on the second.",?
Giga Drain,GRASS,Special,75,100,10,TM28,User recovers half the HP inflicted on opponent.,?
Giga Impact,NORMAL,Physical,150,90,5,TM09,User must recharge next turn.,?
Gigavolt Havoc,ELECTRIC,?,?,?,1,,Electric type Z-Move.,?
Glacial Lance,ICE,Physical,130,100,5,,The user attacks by hurling a blizzard-cloaked icicle lance at opposing Pok‚mon.,?
Glaciate,ICE,Special,65,95,10,,Lowers opponent's Speed.,100
Glare,NORMAL,Status,?,100,30,,Paralyzes opponent.,?
Glitzy Glow,PSYCHIC,Special,90,100,15,,Reduces damage from Special attacks.,?
Grass Knot,GRASS,Special,?,100,20,,"The heavier the opponent, the stronger the attack.",?
Grass Pledge,GRASS,Special,80,100,10,,Added effects appear if preceded by Water Pledge or succeeded by Fire Pledge.,?
Grass Whistle,GRASS,Status,?,55,15,,Puts opponent to sleep.,?
Grassy Glide,GRASS,Physical,70,100,20,,High priority during Grassy Terrain.,?
Grassy Terrain,GRASS,Status,?,?,10,TM88,Restores a little HP of all Pok‚mon for 5 turns.,?
Grav Apple,GRASS,Physical,80,100,10,,Lowers the opponent's Defense stat.,100
Gravity,PSYCHIC,Status,?,?,5,,Prevents moves like Fly and Bounce and the Ability Levitate for 5 turns.,?
Growl,NORMAL,Status,?,100,40,,Lowers opponent's Attack.,?
Growth,NORMAL,Status,?,?,20,,Raises user's Attack and Special Attack.,?
Grudge,GHOST,Status,?,?,5,,"If the users faints after using this move, the PP for the opponent's last move is depleted.",?
Guard Split,PSYCHIC,Status,?,?,10,,Averages Defense and Special Defense with the target.,?
